system_name,prod_type,rename_to
MENU,MENU.indt,MENU
EDDMXLMENU,XL.indt,XL
FMagnet,FMAGDM.indt,FMAG
FMagEDDM,FMAGEDDM.indt,FMAG
FMAGEDDM,FMAGEDDM.indt,FMAG
MenuXL,XL.indt,XL
JUMBOPC,JUMBO.indt,JUMBO
MAG,MAG.indt,MAG
EDDMmenu,MENU.indt,MENU
2sideBT,2SBT.indt,2SBT
CUSTOM80,CUSTOM80.indt,CUSTOM80
WC2030,WC2030.indt,WC2030
2SideFlyer,2SBT.indt,2SBT
WC3040,WC3040.indt,WC2030
PC,PC.indt,PC
SO,PC.indt,SO
BrochXL,XL.indt,XL
Broch10x17,MENU.indt,MENU
PeelGift,PC.indt,PPC
DH,DH.indt,100#DH
CUSTOM100,CUSTOM100.indt,CUSTOM100
80LBFLYER,80#FL.indt,80#FL
100#DH,DH.indt,100#DH
100LBDH,DH.indt,100#DH
2SBT,2SBT.indt,2SBT
80#FL,80#FL.indt,80#FL
ART,COMINGSOON.indt,ART
BIRTH,COMINGSOON.indt,BIRTH
CALLTRACKING,COMINGSOON.indt,CALLTRACKING
COLPC,COLOSSAL.indt,COLPC
COUP,COUPON.indt,COUP
CUSTOM100,COMINGSOON.indt,CUSTOM100
CUSTOM110NEENAH,COMINGSOON.indt,CUSTOM110NEENAH
CUSTOMSILK,COMINGSOON.indt,CUSTOMSILK
CUSTOMTEXT,COMINGSOON.indt,CUSTOMTEXT
DPS,COMINGSOON.indt,DPS
ENV,COMINGSOON.indt,ENV
FMAG,FMAGDM.indt,FMAG
JUMBO,JUMBO.indt,JUMBO
LEG_1S,COMINGSOON.indt,LEG_1S
LEG_2S,COMINGSOON.indt,LEG_2S
LET_1S,COMINGSOON.indt,LET_1S
LET_2S,COMINGSOON.indt,LET_2S
LPL_1C,LPL.indt,LPL
LPL,LPL.indt,LPL
MAG,MAG.indt,MAG
MoBT,MOBT.indt,MoBT
MPL_1C,MPL.indt,MPL
MPL,MPL.indt,MPL
NM,COMINGSOON.indt,NM
PPC,PC.indt,PPC
SPL_1C,SPL.indt,SPL
SPL_NM,SPL.indt,SPL
SPL,SPL.indt,SPL
WC2030,COMINGSOON.indt,WC2030
WC2430,COMINGSOON.indt,WC2430
WC2436,COMINGSOON.indt,WC2436
WC3040,COMINGSOON.indt,WC3040
WCCUSTOM,COMINGSOON.indt,WCCUSTOM
XL,XL.indt,XL
XXL,COMINGSOON.indt,XXL
80LBFL,80#FL.indt,80#FL
LPO,LPO.indt,LPO
MenuSm,80#FL.indt,80#FL
BrochSm,80#FL.indt,80#FL
